Statistical profiling result from isolate-000000399C206E40-v8.log, (29342 ticks, 591 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  18585   63.3%          C:\Program Files (x86)\nodejs\node.exe
   3267   11.1%          C:\WINDOWS\SYSTEM32\ntdll.dll
     35    0.1%          C:\WINDOWS\system32\KERNEL32.DLL
     27    0.1%          C:\WINDOWS\system32\KERNELBASE.dll
      9    0.0%          C:\WINDOWS\system32\WS2_32.dll
      3    0.0%          C:\WINDOWS\system32\mswsock.dll
      1    0.0%          C:\WINDOWS\SYSTEM32\WINMM.dll

 [JavaScript]:
   ticks  total  nonlib   name
    895    3.1%   12.1%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:452:18
    273    0.9%    3.7%  LazyCompile: *f C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:283:20
    201    0.7%    2.7%  LoadIC: A load IC from the snapshot
    189    0.6%    2.5%  Builtin: KeyedStoreIC_Megamorphic_Strict
    176    0.6%    2.4%  Builtin: KeyedLoadIC_Megamorphic
    149    0.5%    2.0%  Builtin: InterpreterEntryTrampoline
    142    0.5%    1.9%  StoreIC: A store IC from the snapshot
    135    0.5%    1.8%  Builtin: CallFunction_ReceiverIsAny
    103    0.4%    1.4%  Builtin: FastNewClosure
     98    0.3%    1.3%  KeyedLoadIC: A keyed load IC from the snapshot
     94    0.3%    1.3%  Stub: StringAddStub
     86    0.3%    1.2%  LazyCompile: *getChecksumAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:8:28
     76    0.3%    1.0%  Builtin: RegExpPrototypeMatch
     68    0.2%    0.9%  Builtin: StringPrototypeSubstr
     61    0.2%    0.8%  Builtin: ArgumentsAdaptorTrampoline
     58    0.2%    0.8%  Builtin: FastArrayPush
     57    0.2%    0.8%  Stub: GetPropertyStub
     55    0.2%    0.7%  LazyCompile: *parse url.js:101:37
     52    0.2%    0.7%  Function: ~createSecureContext _tls_common.js:57:59
     51    0.2%    0.7%  KeyedStoreIC: A keyed store IC from the snapshot
     48    0.2%    0.6%  Function: ~getAddress C:\node\cryptodev\node_modules\ethers-utils\address.js:77:20
     47    0.2%    0.6%  Builtin: CompileLazy
     45    0.2%    0.6%  Stub: CallICStub
     45    0.2%    0.6%  Stub: CEntryStub
     43    0.1%    0.6%  Function: ~cast C:\node\cryptodev\node_modules\mongoose\lib\cast.js:21:31
     39    0.1%    0.5%  LazyCompile: *Keccak.update C:\node\cryptodev\node_modules\js-sha3\src\sha3.js:111:38
     38    0.1%    0.5%  Function: ~stringSlice buffer.js:553:21
     37    0.1%    0.5%  LazyCompile: *deserializeObject C:\node\cryptodev\node_modules\bson\lib\bson\parser\deserializer.js:39:33
     37    0.1%    0.5%  LazyCompile: *Uint8ArrayConstructByIterable native typedarray.js:127:39
     36    0.1%    0.5%  Builtin: StringCharCodeAt
     35    0.1%    0.5%  Function: ~byteLength buffer.js:473:20
     34    0.1%    0.5%  LazyCompile: *ClientRequest _http_client.js:79:23
     34    0.1%    0.5%  Function: ~Socket.connect net.js:977:36
     32    0.1%    0.4%  RegExp: ^0x[0-9A-Fa-f]*$
     32    0.1%    0.4%  LazyCompile: *<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
     31    0.1%    0.4%  Function: ~autoEscapeStr url.js:442:23
     30    0.1%    0.4%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     30    0.1%    0.4%  Builtin: JSConstructStubGenericUnrestrictedReturn
     30    0.1%    0.4%  Builtin: GrowFastSmiOrObjectElements
     28    0.1%    0.4%  Function: ~match native string.js:12:6
     27    0.1%    0.4%  Function: ~<anonymous> C:\node\cryptodev\node_modules\mongodb-core\lib\connection\pool.js:1394:25
     26    0.1%    0.4%  RegExp: ^0x[0-9A-Fa-f]{40}$
     25    0.1%    0.3%  Stub: StringAddStub {1}
     25    0.1%    0.3%  RegExp: ^(0x)?[0-9a-fA-F]{40}$
     25    0.1%    0.3%  LazyCompile: *DoJoin native array.js:95:16
     25    0.1%    0.3%  LazyCompile: *Agent _http_agent.js:43:15
     24    0.1%    0.3%  LazyCompile: *exports.connect _tls_wrap.js:1018:27
     24    0.1%    0.3%  Builtin: Call_ReceiverIsAny
     24    0.1%    0.3%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     23    0.1%    0.3%  Function: ~Buffer.write buffer.js:850:34
     23    0.1%    0.3%  Builtin: FastNewObject
     22    0.1%    0.3%  Function: ~serializeInto C:\node\cryptodev\node_modules\bson\lib\bson\parser\serializer.js:574:43
     22    0.1%    0.3%  Builtin: StringPrototypeSlice
     22    0.1%    0.3%  Builtin: PromiseThen
     22    0.1%    0.3%  Builtin: Add {1}
     21    0.1%    0.3%  LazyCompile: *serializeInto C:\node\cryptodev\node_modules\bson\lib\bson\parser\serializer.js:574:43
     21    0.1%    0.3%  Builtin: ObjectKeys
     21    0.1%    0.3%  Builtin: LoadICProtoArray
     21    0.1%    0.3%  Builtin: FastCloneRegExp
     20    0.1%    0.3%  LazyCompile: *_tickCallback internal/process/next_tick.js:151:25
     20    0.1%    0.3%  LazyCompile: *Socket._writeGeneric net.js:708:42
     20    0.1%    0.3%  Builtin: StringPrototypeSubstring
     20    0.1%    0.3%  Builtin: RegExpPrototypeExec
     20    0.1%    0.3%  Builtin: PromiseHandle
     19    0.1%    0.3%  Stub: CEntryStub {1}
     19    0.1%    0.3%  LazyCompile: *send C:\node\cryptodev\node_modules\xmlhttprequest\lib\XMLHttpRequest.js:267:23
     19    0.1%    0.3%  LazyCompile: *addRequest _http_agent.js:140:49
     19    0.1%    0.3%  Function: ~SchemaNumber.cast C:\node\cryptodev\node_modules\mongoose\lib\schema\number.js:172:39
